1;1;2;438
2;2;3;111
3;3;4;106
4;4;5;144
5;5;6;231
6;4;6;171
7;5;7;128
8;7;8;180
9;8;9;279
10;6;7;215
11;6;8;232
12;6;9;242
13;6;10;148
14;9;10;173
15;9;14;324
16;14;15;236
17;12;15;261
18;11;12;181
19;4;11;192
20;10;11;233
21;10;12;223
22;10;13;180
23;13;14;230
24;13;15;161
25;15;16;270
26;16;17;469
27;17;18;456
28;17;20;362
29;19;20;493
30;17;19;448
31;17;21;356
32;19;21;153
33;19;22;309
34;21;22;270
35;22;23;225
36;19;23;132
37;19;24;460
38;23;24;358
39;19;25;250
40;25;26;323
41;26;27;359
42;27;28;408
43;28;29;299
44;29;30;294
45;30;31;300
46;31;32;296
47;32;33;296
48;33;34;258
49;24;35;520
50;35;36;485
51;29;36;103
52;36;37;397
53;36;38;835
54;37;38;455
55;38;39;621
56;39;40;714
57;40;42;181
58;42;44;204
59;40;41;113
60;41;42;90
61;41;43;124
62;42;45;318
63;45;46;66
64;45;47;241
65;47;48;538
66;48;49;144
67;48;50;519
68;49;50;391
69;50;51;156
70;49;52;643
71;50;53;514
72;51;54;526
73;53;54;114
74;54;55;177
75;55;65;774
76;55;56;508
77;52;57;460
78;57;59;433
79;56;58;146
80;56;59;147
81;58;59;136
82;57;61;669
83;59;61;308
84;58;60;375
85;60;65;280
86;65;66;743
87;66;67;706
88;67;69;514
89;68;69;93
90;69;74;774
91;74;78;753
92;78;79;743
93;69;70;88
94;60;62;549
95;60;63;337
96;62;63;275
97;61;63;497
98;62;64;704
99;64;71;771
100;70;71;92
101;71;72;278
102;72;73;53
103;72;75;529
104;72;76;491
105;76;77;470
106;77;80;413
107;218;219;274
108;219;220;441
109;220;221;203
110;46;221;245
111;221;222;190
112;221;223;191
113;223;224;48
114;224;225;258
115;224;226;316
116;225;226;316
117;226;227;263
118;227;228;347
119;228;229;464
120;229;230;624
121;228;241;258
122;230;231;348
123;231;233;318
124;231;232;452
125;232;234;432
126;234;235;248
127;234;236;369
128;235;236;353
129;236;237;307
130;233;237;318
131;237;238;540
132;233;238;316
133;233;245;577
134;233;246;529
135;238;239;439
136;239;240;317
137;240;241;278
138;241;242;354
139;241;243;418
140;240;242;486
141;240;243;300
142;242;243;356
143;243;244;416
144;240;244;471
145;239;244;305
146;239;243;474
147;244;245;371
148;239;245;552
149;238;244;481
150;238;245;347
151;245;246;333
152;238;246;493
153;237;246;411
154;237;247;452
155;236;246;609
156;236;247;444
157;246;247;345
158;246;248;616
159;246;249;520
160;247;248;451
161;247;249;598
162;248;249;389
163;245;249;591
164;245;250;450
165;246;250;583
166;249;250;332
167;1858;1859;451
168;1859;1861;127
169;1859;1860;211
170;570;1860;201
171;571;1861;198
172;570;571;67
173;570;572;104
174;571;572;159
175;572;573;220
176;571;573;152
177;573;574;93
178;571;574;184
179;571;575;230
180;575;576;146
181;576;577;159
182;577;578;192
183;578;579;115
184;579;580;96
185;573;579;164
186;574;580;128
187;578;581;396
188;581;582;109
189;581;583;188
190;582;583;88
191;582;586;74
192;583;584;201
193;585;586;153
194;584;587;173
195;585;587;173
196;585;588;157
197;584;589;244
198;587;588;82
199;587;589;139
200;588;589;204
201;589;590;124
202;589;599;220
203;599;600;104
204;587;590;192
205;588;590;210
206;587;591;212
207;588;591;183
208;590;591;114
209;589;595;314
210;589;723;252
211;590;723;188
212;591;723;270
213;590;722;237
214;591;722;209
215;722;723;225
216;723;724;168
217;724;725;117
218;725;726;139
219;725;727;192
220;726;727;156
221;723;727;245
222;727;728;117
223;722;727;330
224;723;728;248
225;722;728;242
226;728;729;124
227;727;729;141
228;727;731;258
229;729;730;206
230;729;731;192
231;730;731;62
232;731;732;88
233;730;734;133
234;734;735;87
235;731;733;184
236;733;734;185
237;734;736;168
238;735;736;199
239;735;737;184
240;733;736;152
241;736;737;115
242;737;738;112
243;738;739;119
244;737;739;175
245;739;740;137
246;737;740;229
247;737;741;178
248;739;741;224
249;740;741;453
250;736;741;149
251;740;743;128
252;741;743;105
253;741;742;105
254;736;742;179
255;733;742;203
256;733;741;252
257;743;744;80
258;742;744;141
259;742;745;211
260;744;745;122
261;744;746;157
262;745;746;174
263;607;746;143
264;745;747;371
265;607;747;170
266;745;748;268
267;746;748;291
268;607;748;332
269;747;748;250
270;747;749;149
271;748;749;313
272;748;750;271
273;749;750;314
274;749;751;206
275;750;751;329
276;751;752;153
277;750;752;321
278;750;753;133
279;752;753;224
280;750;754;207
281;753;754;105
282;615;754;117
283;595;596;86
284;596;597;191
285;597;598;171
286;598;601;214
287;601;602;141
288;602;603;184
289;603;604;121
290;604;605;216
291;605;606;153
292;606;607;181
293;607;608;189
294;608;609;65
295;609;610;283
296;610;611;185
297;611;612;95
298;612;613;134
299;613;614;168
300;614;615;80
301;615;616;83
302;616;617;136
303;617;618;95
304;618;619;54
305;618;620;122
306;619;620;79
307;620;621;202
308;621;622;51
309;622;623;60
310;623;624;96
311;622;624;59
312;624;625;113
313;621;626;181
314;626;627;290
315;627;628;168
316;628;629;152
317;629;630;334
318;630;631;215
319;631;632;191
